chat,04
mot,07
bis,01
tu,09
son,15
peu,10
rue,09
douce,08
fin,13
lit,01
soeur,11
brun,16
laide,03
gant,14
route,08
lac,04
eux,10
singe,13
mes,02
bonne,06
coq,06
m<u>e</u>lon,12
non,15
quelle,03
oeuil,11
vos,07
patte,04
lune,09
sec,03
dans,14
brut,09
eau,07
dinde,13
lors,06
d<u>e</u>main,12
cette,03
banc,14
vous,08
voeux,10
gens,14
vieille,03
aux,07
longue,15
mouche,08
ce,12
aise,03
songe,15
salle,04
lait,02
jeun,16
